topic,palabra,peso,community
0,presidente,128.516,5
0,senor,50.758,5
0,pueblo,22.118,5
0,corruptos,12.142,5
0,cambio,12.047,5
0,haga,11.498,5
0,robo,10.004,5
0,colombia,9.166,5
0,uribe,9.166,5
0,seguridad,8.167,5
1,guatemala,34.222,5
1,gente,22.615,5
1,papa,21.915,5
1,favor,16.165,5
1,vida,15.728,5
1,gracias,14.806,5
1,huevos,14.101,5
1,ojala,13.814,5
1,escuela,13.166,5
1,escuelas,11.165,5
2,arevalo,72.988,5
2,viva,29.165,5
2,presidente,27.47,5
2,jajaja,20.165,5
2,corrupto,20.162,5
2,bernardo,11.165,5
2,guatemala,10.573,5
2,deja,9.331,5
2,sirve,9.026,5
2,porqueria,8.165,5
3,mierda,28.684,5
3,puta,22.165,5
3,pegasus,19.165,5
3,hijo,16.859,5
3,viejo,12.165,5
3,jajajaja,10.957,5
3,guatemala,10.908,5
3,giammattei,9.987,5
3,lastima,9.892,5
3,paso,9.745,5
4,padre,60.165,5
4,gobierno,21.188,5
4,legado,20.26,5
4,anos,18.463,5
4,memoria,15.526,5
4,verguenza,9.372,5
4,medicinas,9.168,5
4,atencion,9.164,5
4,apellido,8.655,5
4,inutil,8.169,5
5,gobierno,36.041,5
5,corruptos,24.473,5
5,semilla,21.749,5
5,madre,17.765,5
5,guatemaltecos,15.165,5
5,salud,13.566,5
5,centros,13.174,5
5,guatemala,11.962,5
5,verguenza,11.959,5
5,palin,11.164,5
0,presidente,43.912,9
0,semilla,15.852,9
0,senor,14.91,9
0,mp,13.17,9
0,hijo,11.081,9
0,arevalo,9.976,9
0,puta,9.306,9
0,democraticamente,9.166,9
0,gobiernos,9.165,9
0,desinformacion,8.17,9
1,periodista,34.085,9
1,netcenter,26.164,9
1,semilleros,22.466,9
1,preguntas,17.165,9
1,pregunta,16.437,9
1,respuesta,12.166,9
1,secretario,8.17,9
1,net,7.765,9
1,gobierno,7.714,9
1,periodistas,7.542,9
2,mierda,29.617,9
2,jajajajajaja,26.167,9
2,gobierno,26.119,9
2,corrupto,12.165,9
2,drogas,11.166,9
2,anos,11.062,9
2,huevos,10.166,9
2,millones,7.168,9
2,alguien,6.171,9
2,autopista,6.166,9
3,jajaja,29.166,9
3,corrupcion,27.166,9
3,arevalo,17.902,9
3,guatemala,16.395,9
3,gracias,10.157,9
3,periodistas,9.797,9
3,netcenteros,9.72,9
3,viva,9.166,9
3,fumando,8.167,9
3,mano,8.166,9
4,corruptos,17.598,9
4,imbecil,15.166,9
4,pueblo,14.581,9
4,jajajaja,14.17,9
4,netcentero,12.87,9
4,gente,10.56,9
4,cree,9.165,9
4,idiota,9.144,9
4,mula,8.182,9
4,pacto,8.149,9
5,net,24.486,9
5,gobierno,22.257,9
5,pregunta,20.895,9
5,periodista,9.779,9
5,defender,9.759,9
5,periodistas,9.16,9
5,senor,8.976,9
5,video,8.372,9
5,corruptos,7.345,9
5,padre,7.169,9
0,trabajando,17.165,0
0,presidente,12.295,0
0,urge,9.166,0
0,salud,8.938,0
0,nacional,7.169,0
0,tema,7.166,0
0,favor,6.802,0
0,guatemala,6.638,0
0,autopista,6.166,0
0,desnutricion,6.163,0
1,presidente,49.077,0
1,alimentos,24.166,0
1,nebaj,20.167,0
1,quiche,18.166,0
1,familias,17.731,0
1,santa,17.166,0
1,maria,17.166,0
1,raciones,14.167,0
1,entrega,14.166,0
1,ministro,13.009,0
2,gracias,12.165,0
2,ley,9.166,0
2,seguro,9.166,0
2,visto,6.167,0
2,nefastos,6.167,0
2,jimmy,6.166,0
2,giammattei,6.166,0
2,fraude,6.166,0
2,percepcion,5.172,0
2,jajaja,5.167,0
3,gobierno,45.164,0
3,corrupcion,21.166,0
3,corruptos,16.165,0
3,mierda,14.165,0
3,gente,12.843,0
3,seguir,9.165,0
3,delincuentes,8.166,0
3,corrupto,8.165,0
3,mp,7.167,0
3,presupuesto,7.167,0
4,roosevelt,13.167,0
4,bolos,13.166,0
4,4calle,11.167,0
4,10,10.166,0
4,z11,9.167,0
4,pnc,9.166,0
4,cantina,8.167,0
4,10av,8.167,0
4,policia,8.167,0
4,licor,8.166,0
5,guatemala,22.305,0
5,ministro,20.444,0
5,pueblo,17.165,0
5,anos,14.165,0
5,excelente,13.166,0
5,senor,11.749,0
5,resultados,10.171,0
5,jovel,8.169,0
5,dinero,8.166,0
5,dando,6.166,0
