topic,palabra,peso
0,presidente,43.912
0,semilla,15.852
0,senor,14.91
0,mp,13.17
0,hijo,11.081
0,arevalo,9.976
0,puta,9.306
0,democraticamente,9.166
0,gobiernos,9.165
0,desinformacion,8.17
1,periodista,34.085
1,netcenter,26.164
1,semilleros,22.466
1,preguntas,17.165
1,pregunta,16.437
1,respuesta,12.166
1,secretario,8.17
1,net,7.765
1,gobierno,7.714
1,periodistas,7.542
2,mierda,29.617
2,jajajajajaja,26.167
2,gobierno,26.119
2,corrupto,12.165
2,drogas,11.166
2,anos,11.062
2,huevos,10.166
2,millones,7.168
2,alguien,6.171
2,autopista,6.166
3,jajaja,29.166
3,corrupcion,27.166
3,arevalo,17.902
3,guatemala,16.395
3,gracias,10.157
3,periodistas,9.797
3,netcenteros,9.72
3,viva,9.166
3,fumando,8.167
3,mano,8.166
4,corruptos,17.598
4,imbecil,15.166
4,pueblo,14.581
4,jajajaja,14.17
4,netcentero,12.87
4,gente,10.56
4,cree,9.165
4,idiota,9.144
4,mula,8.182
4,pacto,8.149
5,net,24.486
5,gobierno,22.257
5,pregunta,20.895
5,periodista,9.779
5,defender,9.759
5,periodistas,9.16
5,senor,8.976
5,video,8.372
5,corruptos,7.345
5,padre,7.169
