node,degree,in_degree,out_degree,betweenness,closeness,community
guatemalagob,0.19819529487592655,0.1975507573316146,0.0006445375443119562,0.00042203624888784483,0.5273548895334264,0
fjimenezmingob,0.09023525620367387,0.08959071865936191,0.0006445375443119562,0.00017624305376034947,0.39060852162199855,0
mingobguate,0.06703190460844345,0.06703190460844345,0.0,0.0,0.36405783617778437,0
diariodeca,0.05381888495004834,0.05124073477280052,0.002578150177247825,0.0005800394002427221,0.4810581792874699,0
pncdeguatemala,0.04962939091202063,0.04962939091202063,0.0,0.0,0.34949882222392026,0
agn_noticias,0.044150821785369,0.041894940380277156,0.0022558814050918467,0.00047519716921512516,0.4770413025777864,0
_spguatemala,0.044150821785369,0.044150821785369,0.0,0.0,0.3411130145699408,0
radio_tgw,0.0412504028359652,0.039639058975185305,0.0016113438607798906,6.872365982629903e-05,0.4761577564084804,0
dtransitopnc,0.02900418949403803,0.02900418949403803,0.0,0.0,0.3389021315797588,0
magaguatemala,0.019336126329358688,0.017724782468578795,0.0016113438607798906,0.0003498550770065637,0.46503257518398317,0
barevalodeleon,0.8130841121495328,0.8130841121495328,0.0,0.0,0.8399199846911366,5
olsenpsico,0.05381888495004834,0.053496616177892364,0.0003222687721559781,0.0,0.4735993404621653,5
ivanduque,0.03770544634224944,0.03738317757009346,0.0003222687721559781,0.0,0.4655940392047305,5
mendiamariela,0.031582339671285854,0.02610377054463423,0.0054785691266516275,0.001171898081304714,0.46927686397483187,5
gersongudielcas,0.030293264582661943,0.02739284563325814,0.002900418949403803,0.00028806191245080176,0.46792448108153256,5
drewzecena,0.022881082823074446,0.022558814050918467,0.0003222687721559781,0.0,0.46650931555580594,5
factor4_gt,0.019336126329358688,0.01901385755720271,0.0003222687721559781,0.0,0.46573461711511843,5
guate_opina,0.011279407025459234,0.008378988076055431,0.002900418949403803,0.0010687456698009288,0.4604516572791858,5
raulbarreragt,0.010957138253303255,0.010957138253303255,0.0,0.0,0.32497904811656425,5
royalvaradogt,0.009023525620367387,0.007734450531743474,0.0012890750886239124,3.444840544833002e-05,0.4606579220203889,5
ubaldomacu,0.13470834676119886,0.13116339026748308,0.0035449564937157594,0.013374647941035945,0.5039245514162928,9
santipalomov,0.1192394456977119,0.1192394456977119,0.0,0.0,0.3863526742355097,9
mpguatemala,0.10828230744440864,0.10796003867225266,0.0003222687721559781,7.151139205911189e-05,0.38228328423426816,9
benitoc67601310,0.014179825974863038,0.0054785691266516275,0.008701256848211408,0.01098620796810945,0.46447246368120215,9
wichomarg,0.013857557202707059,0.00515630035449565,0.008701256848211408,0.0011270561929093556,0.46328669526513655,9
ialmgg,0.011601675797615212,0.0009668063164679343,0.010634869481147278,0.0001016630536964325,0.46238400835889454,9
elojodelcerro,0.010634869481147278,0.00515630035449565,0.0054785691266516275,0.0001522735037315985,0.4606579220203889,9
billyc2023,0.009668063164679344,0.0003222687721559781,0.009345794392523366,2.0322426308147992e-05,0.4623147165848261,9
martinmoli59062,0.008056719303899453,0.0,0.008056719303899453,0.0,0.4606579220203889,9
patrici07680625,0.0074121817595874965,0.0016113438607798906,0.005800837898807606,0.00022796340215653022,0.46072671800635373,9
