topic,palabra,peso,community
0,guatemala,34.509,4
0,ilegal,25.165,4
0,corruptos,19.454,4
0,mp,18.956,4
0,magistrados,18.955,4
0,cc,16.308,4
0,corrupto,14.149,4
0,grabo,13.96,4
0,corrupcion,12.876,4
0,seria,12.704,4
1,trafico,27.166,4
1,pacto,21.983,4
1,pasa,21.014,4
1,violencia,16.165,4
1,corruptos,15.081,4
1,agua,14.949,4
1,gobierno,13.136,4
1,pueblo,12.097,4
1,gente,11.572,4
1,seguro,11.166,4
2,golpe,35.165,4
2,pueblo,29.414,4
2,corruptos,27.964,4
2,paso,24.403,4
2,quieren,18.001,4
2,poblacion,15.166,4
2,fraude,15.09,4
2,cacif,15.047,4
2,guatemala,13.453,4
2,bloqueos,13.17,4
3,gobierno,29.895,4
3,presidente,25.792,4
3,semilla,21.178,4
3,verguenza,18.165,4
3,corrupcion,16.517,4
3,congreso,14.24,4
3,anda,13.947,4
3,mula,13.141,4
3,ojala,12.324,4
3,privado,11.847,4
4,gracias,43.165,4
4,mp,37.375,4
4,mierda,23.171,4
4,coche,21.166,4
4,muletas,21.012,4
4,hdp,19.165,4
4,caso,17.602,4
4,alguien,15.877,4
4,vayan,14.09,4
4,llega,13.031,4
5,gente,26.761,4
5,cc,24.209,4
5,gratis,21.458,4
5,partido,16.165,4
5,jajajaja,14.082,4
5,mentiroso,13.165,4
5,juegos,12.167,4
5,ninos,12.165,4
5,guate,11.954,4
5,ley,11.68,4
0,guatemala,28.497,3
0,carro,9.166,3
0,km,9.163,3
0,lea,8.166,3
0,traficogt,7.175,3
0,ruta,6.361,3
0,caos,6.172,3
0,gobierno,5.167,3
0,centro,5.165,3
0,interamericana,5.164,3
1,villa,32.165,3
1,sur,12.856,3
1,velocidad,11.166,3
1,lobos,9.166,3
1,trafico,9.069,3
1,mp,8.166,3
1,ciudad,7.984,3
1,automovilistas,7.166,3
1,pmt,7.118,3
1,lindo,6.166,3
2,zona,16.608,3
2,avenida,15.166,3
2,paso,14.715,3
2,san,14.159,3
2,trafico,10.848,3
2,via,10.056,3
2,8a,8.965,3
2,minutos,8.166,3
2,norte,8.157,3
2,calle,7.462,3
3,trafico,22.269,3
3,transito,14.166,3
3,transmetro,11.909,3
3,semaforo,8.93,3
3,gracias,8.164,3
3,carretera,8.163,3
3,calle,7.969,3
3,pmt,6.796,3
3,urge,6.734,3
3,hora,6.558,3
4,zona,19.285,3
4,calle,16.331,3
4,avenida,16.16,3
4,13,9.165,3
4,emetra,8.168,3
4,luz,6.166,3
4,salida,5.868,3
4,trafico,5.345,3
4,calles,5.164,3
4,11,4.688,3
5,av,22.193,3
5,zona,17.591,3
5,trafico,17.302,3
5,calle,16.904,3
5,favor,14.608,3
5,carril,14.036,3
5,10,13.168,3
5,senores,10.309,3
5,paso,7.234,3
5,alguien,6.169,3
0,corrupto,7.166,14
0,hdp,5.166,14
0,senor,5.166,14
0,corrupcion,3.165,14
0,gobierno,0.172,14
0,posesion,0.168,14
0,guatemala,0.167,14
0,caso,0.167,14
0,presidente,0.167,14
0,quieren,0.167,14
1,guatemala,27.165,14
1,pueblo,14.166,14
1,presidente,11.878,14
1,verguenza,5.166,14
1,congreso,5.166,14
1,posesion,5.165,14
1,electo,5.165,14
1,gobierno,2.158,14
1,senor,0.167,14
1,corrupcion,0.167,14
2,corrupcion,9.168,14
2,excelente,9.167,14
2,ley,6.167,14
2,anos,0.167,14
2,guatemala,0.167,14
2,giammattei,0.167,14
2,gobierno,0.167,14
2,verguenza,0.167,14
2,pueblo,0.167,14
2,ojala,0.167,14
3,corruptos,22.165,14
3,anos,5.925,14
3,quieren,2.331,14
3,gobierno,1.163,14
3,electo,0.168,14
3,presidente,0.168,14
3,caso,0.167,14
3,ojala,0.167,14
3,senor,0.167,14
3,verguenza,0.167,14
4,gente,10.166,14
4,giammattei,7.166,14
4,senora,6.166,14
4,presidente,3.451,14
4,ojala,3.163,14
4,anos,1.407,14
4,congreso,1.167,14
4,gobierno,1.164,14
4,verguenza,0.167,14
4,corrupto,0.167,14
5,mp,8.166,14
5,quieren,8.002,14
5,caso,6.166,14
5,gobierno,3.176,14
5,ojala,2.169,14
5,presidente,2.169,14
5,electo,1.167,14
5,verguenza,1.166,14
5,anos,0.168,14
5,corruptos,0.167,14
