topic,palabra,peso
0,guatemala,28.497
0,carro,9.166
0,km,9.163
0,lea,8.166
0,traficogt,7.175
0,ruta,6.361
0,caos,6.172
0,gobierno,5.167
0,centro,5.165
0,interamericana,5.164
1,villa,32.165
1,sur,12.856
1,velocidad,11.166
1,lobos,9.166
1,trafico,9.069
1,mp,8.166
1,ciudad,7.984
1,automovilistas,7.166
1,pmt,7.118
1,lindo,6.166
2,zona,16.608
2,avenida,15.166
2,paso,14.715
2,san,14.159
2,trafico,10.848
2,via,10.056
2,8a,8.965
2,minutos,8.166
2,norte,8.157
2,calle,7.462
3,trafico,22.269
3,transito,14.166
3,transmetro,11.909
3,semaforo,8.93
3,gracias,8.164
3,carretera,8.163
3,calle,7.969
3,pmt,6.796
3,urge,6.734
3,hora,6.558
4,zona,19.285
4,calle,16.331
4,avenida,16.16
4,13,9.165
4,emetra,8.168
4,luz,6.166
4,salida,5.868
4,trafico,5.345
4,calles,5.164
4,11,4.688
5,av,22.193
5,zona,17.591
5,trafico,17.302
5,calle,16.904
5,favor,14.608
5,carril,14.036
5,10,13.168
5,senores,10.309
5,paso,7.234
5,alguien,6.169
