node,degree,in_degree,out_degree,betweenness,closeness,community
amilcarmontejo,0.033835969106289075,0.03310040456050019,0.000735564545788893,1.3531356618633058e-05,0.45651443922095364,3
muniguate,0.023905847738139023,0.023905847738139023,0.0,0.0,0.3295358138407466,3
prensa_libre,0.009930121368150056,0.009930121368150056,0.0,0.0,0.3204100872024511,3
pmtmuniguate,0.008458992276572269,0.008458992276572269,0.0,0.0,0.3117046887538691,3
estaciondoblea,0.008091210003677823,0.0,0.008091210003677823,0.0,0.4403952057013282,3
angeln8,0.007723427730783376,0.0,0.007723427730783376,0.0,0.44003884123644604,3
rquinonezl,0.0066200809121000365,0.0066200809121000365,0.0,0.0,0.31864525958045237,3
lopezmadrrox,0.005884516366311144,0.0,0.005884516366311144,0.0,0.43826563507414573,3
alejandro2024gt,0.005884516366311144,0.0,0.005884516366311144,0.0,0.4379127073602835,3
honor182,0.005516734093416698,0.0,0.005516734093416698,0.0,0.4381243957460522,3
traficogt,0.7120264803236485,0.6954762780433983,0.016550202280250094,0.018502878525493514,0.7696009057458251,4
barevalodeleon,0.120264803236484,0.120264803236484,0.0,0.0,0.495264116575592,4
comunicalord,0.006987863184994484,0.002942258183155572,0.004045605001838912,3.612872217175026e-05,0.43840696549500163,4
mikepachino_7,0.004781169547627804,0.0,0.004781169547627804,0.0,0.4363665543251484,4
csarmolbar,0.004413387274733358,0.0025744759102611257,0.0018389113644722325,9.032180542937565e-06,0.43720855442997264,4
miles_mayhem_,0.004045605001838912,0.0003677822728944465,0.003677822728944465,6.089110478384876e-06,0.4373492037960431,4
__vadertg,0.0033100404560500183,0.0025744759102611257,0.000735564545788893,1.3531356618633058e-07,0.4367871485943775,4
foppaguate,0.0033100404560500183,0.0033100404560500183,0.0,0.0,0.30939918070095584,4
rosario96501677,0.002942258183155572,0.000735564545788893,0.002206693637366679,8.051157188086669e-06,0.4372788678031521,4
kalemarro,0.002942258183155572,0.001471129091577786,0.001471129091577786,1.4546208365030537e-06,0.4365066623856157,4
mildred_gaitan,0.04560500183891136,0.004781169547627804,0.040823832291283564,0.0002451137594682285,0.45766705941760644,14
mmendoza_gt,0.0419271791099669,0.04008826774549467,0.0018389113644722325,0.000773828967080284,0.47147563724640196,14
chofito63569841,0.021699154100772344,0.0003677822728944465,0.021331371827877896,1.7008915269621754e-05,0.4477194137987815,14
sonny_figueroa,0.01250459727841118,0.01140125045972784,0.0011033468186833395,2.483003939519166e-05,0.33329247364550135,14
cmendeza,0.01140125045972784,0.008826774549466716,0.0025744759102611257,3.366376004105594e-05,0.33768007948335815,14
estelar21362549,0.011033468186833395,0.0,0.011033468186833395,0.0,0.4420419443992847,14
victorp95913830,0.009562339095255609,0.0,0.009562339095255609,0.0,0.44189826101088897,14
coperni00829097,0.008826774549466716,0.0,0.008826774549466716,0.0,0.4406093015718684,14
vozdeltuit,0.008458992276572269,0.007723427730783376,0.000735564545788893,7.058857702720244e-06,0.32949587978671835,14
usembassyguate,0.00735564545788893,0.00735564545788893,0.0,0.0,0.33374248189517614,14
